id,region,country,category_code,company_name,source_type,public_profile_url,website,contact_via,priority,status,notes,target_products
M017,China,CN,pottery,"Fujian Dehua Huilong Ceramics Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Fujian. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M018,China,CN,pottery,"Jingdezhen Ceramics Group Export Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Fujian. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M019,China,CN,woodwork,"Zhejiang Anji Tianhuangping Wood Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Zhejiang. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M020,China,CN,woodwork,"Linyi Meijia Wood Industry Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Zhejiang. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M021,China,CN,woodwork,"Nanping Yuanxiang Wood Products Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Zhejiang. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M022,China,CN,jewelry,"Shenzhen Artisan Jewelry Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Guangdong. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M023,China,CN,jewelry,"Guangzhou Baiyun Jewelry Factory Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Guangdong. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M024,China,CN,jewelry,"Yiwu Huamei Jewelry Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Guangdong. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M025,China,CN,agriculture_food,"Qingdao Sino Agro Food Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Shandong. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M026,China,CN,agriculture_food,"Weifang Juxin Food Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Shandong. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M027,China,CN,agriculture_food,"Yantai Andre Juice Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Shandong. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M028,China,CN,animals_pets,"Dongguan PetStar Products Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Guangdong. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M029,China,CN,animals_pets,"Nantong PetJoy Manufacturing Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Guangdong. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M030,China,CN,animals_pets,"Shenzhen PawHouse Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Guangdong. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M031,China,CN,apparel_footwear,"Jinjiang Hengsheng Shoes Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Fujian. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M032,China,CN,apparel_footwear,"Putian Huaxia Footwear Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Fujian. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M033,China,CN,apparel_footwear,"Wenzhou Aokang Footwear Export Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Fujian. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M034,China,CN,auto_parts,"Wenzhou Ruili Auto Parts Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Zhejiang. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M035,China,CN,auto_parts,"Ningbo Joyson Auto Components Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Zhejiang. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M036,China,CN,auto_parts,"Guangzhou Lima Auto Electronics Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Zhejiang. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M037,China,CN,beauty_personal_care,"Guangzhou Baiyun Cosmetics Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Guangdong. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M038,China,CN,beauty_personal_care,"Shenzhen Meimei Beauty Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Guangdong. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M039,China,CN,beauty_personal_care,"Zhongshan Personal Care OEM Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Guangdong. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M040,China,CN,building_materials,"Tangshan Jidong Cement Export Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Hebei. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M041,China,CN,building_materials,"Hebei Huayang Building Materials Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Hebei. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M042,China,CN,building_materials,"Shandong Wanda Gypsum Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Hebei. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M043,China,CN,chemicals,"Jiangsu Sanmu Group Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Jiangsu. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M044,China,CN,chemicals,"Nanjing Chemical Industry Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Jiangsu. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M045,China,CN,chemicals,"Zhejiang Longsheng Group Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Jiangsu. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M046,China,CN,consumer_electronics,"Shenzhen Foxlink Electronics Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Shenzhen. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M047,China,CN,consumer_electronics,"Dongguan Huaqin Electronics Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Shenzhen. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M048,China,CN,consumer_electronics,"Shenzhen Transsion Accessories Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Shenzhen. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M049,China,CN,electrical_equipment,"Wenzhou Chint Electric Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Zhejiang. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M050,China,CN,electrical_equipment,"Delixi Electric Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Zhejiang. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M051,China,CN,electrical_equipment,"Zhejiang People Electric Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Zhejiang. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M052,China,CN,energy_solar,"Hangzhou SolarWorld OEM Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Jiangsu. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M053,China,CN,energy_solar,"Suzhou Talesun Solar Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Jiangsu. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M054,China,CN,energy_solar,"Changzhou Trina Accessory Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Jiangsu. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M055,China,CN,environment_recycling,"Suzhou GreenCycle Equipment Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Guangdong. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M056,China,CN,environment_recycling,"Shandong EcoWaste Machinery Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Guangdong. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M057,China,CN,environment_recycling,"Guangzhou Recycle Tech Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Guangdong. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M058,China,CN,fabric_textiles,"Shaoxing China Textile City Export Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Zhejiang. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M059,China,CN,fabric_textiles,"Keqiao Huamao Textile Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Zhejiang. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M060,China,CN,fabric_textiles,"Suzhou Silk Road Fabrics Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Zhejiang. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M061,China,CN,furniture,"Foshan Shunde Homely Furniture Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Foshan. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M062,China,CN,furniture,"Dongguan OfficeMaster Furniture Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Foshan. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M063,China,CN,furniture,"Nantong SoftHome Furniture Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Foshan. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M064,China,CN,gifts_crafts,"Yiwu Gift Crafts Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Yiwu. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M065,China,CN,gifts_crafts,"Quanzhou Craft Art Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Yiwu. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M066,China,CN,gifts_crafts,"Ningbo Festival Decor Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Yiwu. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M067,China,CN,hardware_tools,"Yongkang Hardware Tools Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Yongkang. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M068,China,CN,hardware_tools,"Ningbo Great Wall Tools Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Yongkang. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M069,China,CN,hardware_tools,"Zhangjiagang Power Tools Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Yongkang. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M070,China,CN,health_medical,"Ningbo MedSupply Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Jiangsu. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M071,China,CN,health_medical,"Shenzhen HealthCare Devices Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Jiangsu. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M072,China,CN,health_medical,"Suzhou Medical Consumables Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Jiangsu. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M073,China,CN,home_garden,"Ningbo HomeGarden Products Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Zhejiang. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M074,China,CN,home_garden,"Yiwu Kitchenware Export Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Zhejiang. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M075,China,CN,home_garden,"Foshan Bathroom Accessories Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Zhejiang. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M076,China,CN,industrial_machinery,"Wuxi Precision Machinery Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Shanghai. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M077,China,CN,industrial_machinery,"Shenyang Heavy Equipment Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Shanghai. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M078,China,CN,industrial_machinery,"Dongguan CNC Systems Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Shanghai. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M079,China,CN,it_software,"Shenzhen SoftLink Solutions Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Shenzhen. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M080,China,CN,it_software,"Hangzhou CloudBridge Tech Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Shenzhen. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M081,China,CN,it_software,"Beijing B2B SaaS Studio Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Shenzhen. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M082,China,CN,lighting,"Zhongshan Guzhen Lighting Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Zhongshan. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M083,China,CN,lighting,"Foshan LED Source Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Zhongshan. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M084,China,CN,lighting,"Ningbo Lighting Factory Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Zhongshan. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M085,China,CN,luggage_bags,"Guangzhou Luggage Factory Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Guangzhou. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M086,China,CN,luggage_bags,"Wenzhou Travel Bags Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Guangzhou. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M087,China,CN,luggage_bags,"Dongguan SoftCase Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Guangzhou. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
